ident,type,name,iata,icao,iso_country,municipality,lat,lng
FXMF,small_airport,Mafeteng Airport,MFC,FXMF,LS,Mafeteng,-29.8011,27.2436
FXMA,small_airport,Matsaile Airport,MSG,FXMA,LS,Matsaile,-29.84056,28.77668
FXMK,small_airport,Mokhotlong Airport,MKH,FXMK,LS,Mokhotlong,-29.2818,29.0728
FXMM,large_airport,Moshoeshoe I International Airport,MSU,FXMM,LS,Maseru(Mazenod),-29.45628,27.55446
FXNK,small_airport,Nkaus Airport,NKU,FXNK,LS,Nkaus,-30.0217,28.1969
FXPG,small_airport,Pelaneng Airport,PEL,FXPG,LS,Pelaneng,-29.08806,28.49722
FXQN,small_airport,Qacha's Nek Airport,UNE,FXQN,LS,Qacha's Nek,-30.1117,28.6719
FXQG,small_airport,Quthing Airport,UTG,FXQG,LS,Quthing,-30.4075,27.6933
FXSH,small_airport,Sehonghong Airport,SHK,FXSH,LS,Sehonghong,-29.73109,28.76795
FXSK,small_airport,Sekakes Airport,SKQ,FXSK,LS,Sekakes,-30.0389,28.3703
FXSM,small_airport,Semonkong Airport,SOK,FXSM,LS,Semonkong,-29.8386,28.06
FXSS,small_airport,Seshutes Airport,SHZ,FXSS,LS,Seshutes,-29.2676,28.5523
FXTA,small_airport,Thaba-Tseka Airport,THB,FXTA,LS,Thaba-Tseka,-29.5228,28.6158
FXTK,small_airport,Tlokoeng Airport,TKO,FXTK,LS,Tlokoeng,-29.233,28.883
EYSB,medium_airport,Barysiai Airfield,,EYSB,LT,Šiauliai,56.0706,23.5581
EYKA,large_airport,Kaunas International Airport,KUN,EYKA,LT,Kaunas,54.96397,24.08582
EYKD,medium_airport,Kėdainiai Air Base,,EYKD,LT,Kėdainiai,55.3117,23.9564
EYPA,large_airport,Palanga International Airport,PLQ,EYPA,LT,Palanga,55.9732,21.0939
EYPP,medium_airport,Panevėžys Air Base,PNV,EYPP,LT,Panevėžys,55.7294,24.4608
EYVI,large_airport,Vilnius International Airport,VNO,EYVI,LT,Vilnius,54.6341,25.2858
EYSA,medium_airport,Šiauliai International Airport,SQQ,EYSA,LT,Šiauliai,55.8939,23.395
ELLX,large_airport,Luxembourg-Findel International Airport,LUX,ELLX,LU,Luxembourg,49.62685,6.21213
EVKA,medium_airport,Jēkabpils Air Base,,EVKA,LV,Jēkabpils,56.5347,25.8925
EVTA,medium_airport,Jūrmala Airport,,EVJA,LV,Tukums,56.9422,23.2239
EVLA,large_airport,Liepāja International Airport,LPX,EVLA,LV,Liepāja,56.5175,21.0969
EVRA,large_airport,Riga International Airport,RIX,EVRA,LV,Riga,56.92075,23.97071
EVVA,small_airport,Ventspils International Airport,VNT,EVVA,LV,Ventspils,57.3578,21.5442
HLLQ,large_airport,Al Abraq International Airport,LAQ,HLLQ,LY,Al Albraq,32.78904,21.95486
HLZN,small_airport,Alzintan Airport,ZIS,HLZN,LY,Zintan,31.77488,12.25006
HLLB,large_airport,Benina International Airport,BEN,HLLB,LY,Benina,32.0968,20.2695
HL68,medium_airport,Bombah Airport,,HLBU,LY,Bombah,32.4529,23.1186
LY-BCQ,medium_airport,Brak Airport,BCQ,LY-BCQ,LY,Brak,27.653,14.272
HLTD,medium_airport,Ghadames Airport,LTD,HLTD,LY,Ghadames,30.14548,9.70209
HLGT,medium_airport,Ghat Airport,GHT,HLGT,LY,Ghat,25.1456,10.1426
HLON,small_airport,Hon Airport,HUQ,HLON,LY,,29.1101,15.9656
HLKF,medium_airport,Kufra Airport,AKF,HLKF,LY,Kufra,24.1787,23.314
HLMB,medium_airport,Marsa al Brega Airport,LMQ,HLMB,LY,Marsa al Brega,30.3781,19.5764
LY-DNF,small_airport,Martuba Air Base,DNF,LY-DNF,LY,Martuba,32.542,22.745
HL56,medium_airport,Matan al-Sarra Air Base,,HL56,LY,,21.6877,21.8309
HLMS,small_airport,Misrata International Airport,MRA,HLMS,LY,Misrata,32.325,15.061
HLLM,large_airport,Mitiga International Airport,MJI,HLLM,LY,Tripoli,32.89177,13.28788
HLNR,small_airport,Nafurah 1 Airport,NFR,HLNR,LY,Nafurah 1,29.2132,21.5924
HL77,medium_airport,Okba Ibn Nafa Air Base,,HL77,LY,,32.4734,11.8979
HLLS,medium_airport,Sabha Airport,SEB,HLLS,LY,Sabha,26.99245,14.46616
HLGD,large_airport,Sirt International Airport / Ghardabiya Airbase,SRX,HLGD,LY,Sirt,31.05858,16.59709
HLTQ,small_airport,Tobruk International Airport,TOB,HLTQ,LY,Adam,31.861,23.907
HLUB,small_airport,Ubari Airport,QUB,HLUB,LY,Ubari,26.5675,12.8231
HLZW,small_airport,Zuwarah International Airport,WAX,HLZW,LY,Zuwarah,32.9523,12.0155
GMAD,large_airport,Al Massira Airport,AGA,GMAD,MA,Agadir (Temsia),30.32248,-9.412
GMFM,medium_airport,Bassatine Airport,MEK,GMFM,MA,Meknes,33.8791,-5.51512
GMMB,small_airport,Ben Slimane Airport,GMD,GMMB,MA,Ben Slimane,33.6554,-7.22145
GMMD,large_airport,Beni Mellal Airport,BEM,GMMD,MA,Oulad Yaich,32.4019,-6.3159
GMFB,medium_airport,Bouarfa Airport,UAR,GMFB,MA,Bouarfa,32.51431,-1.98306
GMTA,medium_airport,Cherif Al Idrissi Airport,AHU,GMTA,MA,Al Hoceima,35.1771,-3.83952
